Recipe URL,Recipe Title,Description/Summary,Cover Image URL,Prep Time (minutes),Cook Time (minutes),Servings/Serves,Difficulty Level,Ingredients List,Step-by-Step Instructions,Calories,Protein,Carbs,Fat,Fiber,Cuisine Type,Meal Type,Tags,Rating (Average),Rating (Count)
https://www.foodforfitness.co.uk/recipes/slow-cooker-lamb-tagine/,ERROR: 'utf-8' codec can't decode byte 0xa3 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/chicken-madras/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/chicken-vodka-pasta/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/creamy-beef-pasta/,ERROR: 'utf-8' codec can't decode byte 0xe4 in position 4: invalid continuation byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/slow-cooker-thai-green-curry/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/beef-bourguignon-recipe-slow-cooker/,ERROR: 'utf-8' codec can't decode byte 0xe4 in position 4: invalid continuation byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/brazilian-picadillo/,ERROR: 'utf-8' codec can't decode byte 0xf8 in position 2: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/red-lentil-soup/,ERROR: 'utf-8' codec can't decode byte 0xe4 in position 4: invalid continuation byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/salt-and-pepper-chicken/,ERROR: 'utf-8' codec can't decode byte 0xd6 in position 1: invalid continuation byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/peruvian-chicken/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/chicken-dopiaza/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/chicken-pilau/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/healthy-sweet-and-sour-chicken/,ERROR: 'utf-8' codec can't decode byte 0xa3 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/air-fryer-pork-meatballs/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/korean-beef-bowl/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/jamaican-jerk-chicken/,ERROR: 'utf-8' codec can't decode byte 0xf8 in position 2: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/sweet-chilli-chicken/,ERROR: 'utf-8' codec can't decode byte 0xf8 in position 2: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/healthy-chicken-karahi/,ERROR: 'utf-8' codec can't decode byte 0xa3 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
https://www.foodforfitness.co.uk/recipes/turkish-meatballs/,ERROR: 'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte,,,,,,,,,,,,,,,,,,
