2026-01-19 21:53:14,331 - INFO - Database schema created/verified at ingredients.db
2026-01-19 21:53:14,333 - INFO - Found 250 ingredients in CSV file
2026-01-19 21:53:14,334 - INFO - Processing 1/250: Apple
2026-01-19 21:53:14,334 - INFO - Searching for: Apple
2026-01-19 21:53:15,887 - INFO - Found: APPLE (FDC ID: 454004)
2026-01-19 21:53:17,012 - ERROR - Error processing CSV file: OperationalError - 44 values for 45 columns
2026-01-19 21:54:30,805 - WARNING - Row 98: Empty ingredient name, skipping
2026-01-19 21:54:30,805 - WARNING - Row 99: Empty ingredient name, skipping
2026-01-19 21:54:30,805 - WARNING - Row 100: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 101: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 102: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 103: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 104: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 105: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 106: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 107: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 108: Empty ingredient name, skipping
2026-01-19 21:54:30,806 - WARNING - Row 109: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 110: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 111: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 112: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 113: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 114: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 115: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 116: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 117: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 118: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 119: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 120: Empty ingredient name, skipping
2026-01-19 21:54:30,807 - WARNING - Row 121: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 122: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 123: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 124: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 125: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 126: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 127: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 128: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 129: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 130: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 131: Empty ingredient name, skipping
2026-01-19 21:54:30,808 - WARNING - Row 132: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 133: Empty ingredient name, skipping
